property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
8843737,4024,https://www.zameen.com/Property/marghzar_officers_colony_marghzar_officers_colony_block_r_3_marla_double_storey_house_for_sale-8843737-4024-1.html,House,7000000,Marghzar Officers Colony,Lahore,Punjab,31.499385,74.248524,4,3 Marla,For Sale,6,7/3/2019,,,Marla,3,0-5 Marla
8844772,783,https://www.zameen.com/Property/lahore_shadbagh_old_house_for_sale_in_shad_bagh-8844772-783-1.html,House,25000000,Shadbagh,Lahore,Punjab,31.602644,74.340019,4,10 Marla,For Sale,5,7/3/2019,,,Marla,10,5-10 Marla
8848179,128,https://www.zameen.com/Property/lahore_raiwind_road_1_kanal_brand_new_house_for_sale-8848179-128-1.html,House,24500000,Raiwind Road,Lahore,Punjab,31.429249,74.230785,5,1 Kanal,For Sale,4,7/3/2019,,,Kanal,1,1-5 Kanal
8857181,4575,https://www.zameen.com/Property/lahore_ring_road_house_is_available_for_sale-8857181-4575-1.html,House,6000000,Ring Road,Lahore,Punjab,31.595041,74.48095,4,3 Marla,For Sale,3,7/3/2019,,,Marla,3,0-5 Marla
8858428,4183,https://www.zameen.com/Property/samanabad_samanabad_block_n_11_marla_85_sq_ft_double_storey_house_for_sale-8858428-4183-1.html,House,25000000,Samanabad,Lahore,Punjab,31.53425,74.30073,4,11 Marla,For Sale,5,7/3/2019,,,Marla,11,10-15 Marla
8860702,10542,https://www.zameen.com/Property/askari_10_askari_10_sector_f_best_location__10_marla_3_bedrooms_for_sale_in_sector_f_askari_10_lahore-8860702-10542-1.html,Flat,18500000,Askari,Lahore,Punjab,31.533849,74.409633,3,10 Marla,For Sale,3,6/26/2019,Arazi Real Estate,Major Mehboob Retired,Marla,10,5-10 Marla
8872241,9249,https://www.zameen.com/Property/paragon_city_paragon_city_orchard_1_block_house_for_sale-8872241-9249-1.html,House,20500000,Paragon City,Lahore,Punjab,31.537866,74.453144,6,10 Marla,For Sale,4,7/3/2019,,,Marla,10,5-10 Marla
8878086,1269,https://www.zameen.com/Property/lahore_iqbal_avenue_1_kanal_very_decent_and_hot_location_house_for_sale-8878086-1269-1.html,House,30000000,Iqbal Avenue,Lahore,Punjab,31.445799,74.27067,8,1 Kanal,For Sale,7,7/3/2019,,,Kanal,1,1-5 Kanal
8879749,11851,https://www.zameen.com/Property/ferozepur_road_awan_market_2_marla_corner_house_for_sale-8879749-11851-1.html,House,3400000,Ferozepur Road,Lahore,Punjab,31.435705,74.358505,2,2 Marla,For Sale,2,7/3/2019,,,Marla,2,0-5 Marla
8880741,10638,https://www.zameen.com/Property/lahore_rehan_garden_4_marla_house_for_sale_in_rehan_garden_lahore-8880741-10638-1.html,House,5800000,Rehan Garden,Lahore,Punjab,31.346272,74.3782,4,4 Marla,For Sale,3,7/3/2019,,,Marla,4,0-5 Marla
